character1,character2,weight
Istredd,Yennefer,49
Geralt of Rivia,Sh'eenaz,48
Triss Merigold,Yarpen Zigrin,48
Ciri,Esterhazy,47
Regan Dahlberg,Yarpen Zigrin,47
Geralt of Rivia,Reynart de Bois-Fresnes,47
Boholt,Dorregaray,47
Ciri,Emhyr var Emreis,46
Okultich,Pike,46
Geralt of Rivia,Toruviel,45
Figgis Merluzzo,Munro Bruys,45
Geralt of Rivia,Lille,45
Eist Tuirseach,Geralt of Rivia,44
Agloval,Essi Daven,44
Artaud Terranova,Tissaia de Vries,44
Rience,Yennefer,44
Cahir,Emhyr var Emreis,43
Geralt of Rivia,Lambert,43
Keira Metz,Yennefer,43
Boatbug,Geralt of Rivia,43
Everett,Geralt of Rivia,43
Dacre Silifant,Ola Harsheim,42
Boholt,Yarpen Zigrin,42
Geralt of Rivia,Sabrina Glevissig,42
Gyllenstiern,Niedamir,41
Eyck of Denesle,Geralt of Rivia,41
Philippa Eilhart,Vilgefortz,41
Molnar Giancardi,Yennefer,41
Iskra,Kayleigh,40
Geralt of Rivia,Lydia van Bredevoort,40
Jarre,Yennefer,40
Dennis Cranmer,Jarre,40
Asse,Reef,40
Milva,Roach,40
Paulie Dahlberg,Yarpen Zigrin,39
Giselher,Mistle,39
Ciri,Francesca Findabair,39
Ciri,Lara Dorren,38
Jarre,Nenneke,38
Skomlik,Vercta,38
Geralt of Rivia,Olsen,38
Henselt,Meve,38
Marti,Shani,38
Geralt of Rivia,Istredd,38
Falka,Goidemar,37
Boholt,Niedamir,37
Geralt of Rivia,Tissaia de Vries,37
Eist Tuirseach,Pavetta,36
Asse,Kayleigh,36
Sabrina Glevissig,Vilgefortz,36
Cahir,Vattier de Rideaux,36
Emhyr var Emreis,Vissegerd,35
Philippa Eilhart,Rience,35
Marti,Sabrina Glevissig,35
Francesca Findabair,Tissaia de Vries,35
Crach an Craite,Yennefer,35
Geralt of Rivia,Gyllenstiern,35
Filavandrel,Toruviel,35
Emhyr var Emreis,Foltest,34
Boholt,Eyck of Denesle,34
Chireadan,Yennefer,34
Falwick,Nenneke,34
Geralt of Rivia,Shani,34
Emhyr var Emreis,Vattier de Rideaux,34
Geralt of Rivia,Ostrit,33
Falka,Giselher,33
Geralt of Rivia,Krepp,32
Emhyr var Emreis,Yennefer,32
Emhyr var Emreis,Fringilla Vigo,32
Giselher,Iskra,32
Dacre Silifant,Stefan Skellen,32
Bert Brigden,Ola Harsheim,32
Geralt of Rivia,Keira Metz,32
Freixenet,Geralt of Rivia,32
Klaproth,Okultich,32
Benda,Radovid III,31
Geralt of Rivia,Levecque,31
Ciri,Margarita Laux-Antille,31
Eurneid,Nenneke,31
Kelpie,Vysogota,31
Falka,Kayleigh,31
Asse,Giselher,30
Emhyr var Emreis,Henselt,30
Emhyr var Emreis,Esterad Thyssen,30
Fringilla Vigo,Sabrina Glevissig,30
Dhun,Lille,30
Ciri,Sabrina Glevissig,30
Emhyr var Emreis,Geralt of Rivia,30
Cahir,Vilgefortz,30
Munro Bruys,Zoltan Chivay,29
Dandelion,Essi Daven,29
Falka,Fiona,29
Ciri,Lambert,29
Junghans,Levecque,29
Maria,Milva,29
Mousesack,Pavetta,28
Braenn,Mona,28
Francesca Findabair,Triss Merigold,28
Geralt of Rivia,Venzlav,28
Cerro,Lara Dorren,28
Sigrdrifa,Yennefer,28
Pavetta,Roegner,28
Keira Metz,Triss Merigold,28
Sabrina Glevissig,Triss Merigold,28
Caleb Stratton,Zoltan Chivay,28
Calanthe,Roegner,27
Goidemar,Riannon,27
Ihuarraquax,Kelpie,27
Gedovius,Gemma,27
Boreas Mun,Chloe Stitz,27
Paulie Dahlberg,Regan Dahlberg,27
Herwig,Nenneke,26
Krepp,Yennefer,26
Munro Bruys,Yazon Varda,26
Krepp,Neville,26
Dudu,Geralt of Rivia,26
Foltest,Vissegerd,26
Philippa Eilhart,Tissaia de Vries,26
Geralt of Rivia,Torque,26
Henselt,Vizimir,26
Assire var Anahid,Philippa Eilhart,26
Artaud Terranova,Yennefer,26
Lara Dorren,Riannon,25
Caleb Stratton,Yazon Varda,25
Dennis Cranmer,Geralt of Rivia,25
Artaud Terranova,Vilgefortz,25
Eskel,Geralt of Rivia,25
Geralt of Rivia,Kelpie,25
Novosad,Yirrel,25
Fringilla Vigo,Vilgefortz,25
Niedamir,Yennefer,25
Ciri,Iskra,25
Eurneid,Iola the Second,25
Boreas Mun,Rience,25
Kayleigh,Skomlik,25
Dorregaray,Philippa Eilhart,24
Geralt of Rivia,Stregobor,24
Falka,Lara Dorren,24
Geralt of Rivia,Novosad,24
Emhyr var Emreis,Philippa Eilhart,24
Essi Daven,Yennefer,24
Milton,Ograbek,24
Kelpie,Yennefer,24
Jarre,Triss Merigold,24
Iola the Second,Nenneke,24
Pavetta,Yennefer,23
Ciri,Condwiramurs,23
Margarita Laux-Antille,Sabrina Glevissig,23
Calanthe,Emhyr var Emreis,23
Ciri,Mistle,23
Geralt of Rivia,Herbolth,23
Kashka,Mona,23
Giselher,Reef,23
Asse,Falka,23
Dorregaray,Niedamir,22
Filavandrel,Geralt of Rivia,22
Geralt of Rivia,Tavik,22
Ciri,Eredin,22
Fringilla Vigo,Keira Metz,22
Civril,Geralt of Rivia,22
Calanthe,Foltest,22
Kashka,Morenn,21
Ciri,Stavro,21
Ciri,Two,21
Roach,Yurga,21
Lydia van Bredevoort,Tissaia de Vries,21
Caldemeyn,Geralt of Rivia,21
Ciri,Rience,21
Adela,Fiona,21
Adam Pangratt,Julia Abatemarco,21
Geralt of Rivia,Something,21
Fabio Sachs,Yennefer,21
Geralt of Rivia,Percival Schuttenbach,21
Auberon Muircetach,Ciri,21
Niedamir,Yarpen Zigrin,21
Cahir,Fringilla Vigo,21
Calanthe,Eist Tuirseach,21
Dainty,Geralt of Rivia,21
Dorregaray,Eyck of Denesle,21
Everett,Olsen,21
Emhyr var Emreis,Stella Congreve,21
Chireadan,Errdil,21
Ciri,Eithné,20
Audoen,Renfri,20
Geralt of Rivia,Haxo,20
Ciri,Tissaia de Vries,20
Falka,Nycklar,20
Cahir,Mawr,20
Civril,Tavik,20
Boreas Mun,Neratin Ceka,20
Artaud Terranova,Lydia van Bredevoort,19
Lara Dorren,Pavetta,19
Guthlaf,Yennefer,19
Foltest,Vizimir,19
Dandelion,Milva,19
Lara Dorren,Lydia van Bredevoort,19
Francesca Findabair,Vattier de Rideaux,19
Geralt of Rivia,Vratimir,19
Beau Berrant,Geralt of Rivia,19
Ciri,Crach an Craite,19
Emhyr var Emreis,Stefan Skellen,19
Baron,Milva,19
Boreas Mun,Dacre Silifant,18
Geralt of Rivia,Hereward,18
Geralt of Rivia,Paulie Dahlberg,18
Geralt of Rivia,Linus Pitt,18
Andres Vierny,Chloe Stitz,18
Annika,Caldemeyn,18
Effenberg,Talbot,18
Herwig,Loki,18
Iskra,Mistle,18
Fringilla Vigo,Triss Merigold,18
Julia Abatemarco,Lorenzo Molla,18
Radcliffe,Triss Merigold,18
Eyck of Denesle,Yarpen Zigrin,18
Boreas Mun,Ola Harsheim,18
Ciri,Molnar Giancardi,18
Milva,Percival Schuttenbach,18
Codringher,Rience,18
Crach an Craite,Pavetta,18
Agloval,Sh'eenaz,18
Fifteen,Tavik,17
Aridea,Fredefalk,17
Dorregaray,Radcliffe,17
Kayleigh,Mistle,17
Renfri,Stregobor,17
Freixenet,Kashka,17
Braenn,Freixenet,17
Amavet,Fiona,17
Meve,Vizimir,17
Emhyr var Emreis,Vizimir,17
Philippa Eilhart,Radcliffe,17
Ciri,Windsor Imbra,17
Foltest,Julia Abatemarco,17
Geralt of Rivia,Weasel,17
Caleb Stratton,Figgis Merluzzo,17
Vesemir,Yarpen Zigrin,17
Boatbug,Olsen,17
Geralt of Rivia,Villentretenmerth,17
Fringilla Vigo,Milva,17
Galahad,Geralt of Rivia,17
Civril,Fifteen,17
Eredin,Kelpie,17
Chireadan,Neville,17
Geralt of Rivia,Vereena,17
Ciri,Galahad,17
Stefan Skellen,Vilgefortz,16
Anna Henrietta,Geralt of Rivia,16
Dorregaray,Triss Merigold,16
Daniel Etcheverry,Geralt of Rivia,16
Eyck of Denesle,Gyllenstiern,16
Merle,Villentretenmerth,16
Falka,Kelpie,16
Rience,Stefan Skellen,16
Keira Metz,Radcliffe,16
Houtborg,Riannon,16
Ciri,Roach,16
Geralt of Rivia,Margarita Laux-Antille,16
Errdil,Vratimir,16
Neville,Yennefer,16
Francesca Findabair,Keira Metz,16
Filavandrel,Lille,16
Keira Metz,Margarita Laux-Antille,16
Andres Vierny,Stigward,16
Crach an Craite,Eist Tuirseach,16
Ciri,Levecque,16
Two,Yennefer,15
Boholt,Gyllenstiern,15
Gyllenstiern,Yennefer,15
Codringher,Pavetta,15
Akerspaark,Geralt of Rivia,15
Beau Berrant,Chireadan,15
Xavier Moran,Yarpen Zigrin,15
Galarr,Toruviel,15
Civril,Renfri,15
Geralt of Rivia,Morenn,15
Myhrman,Shani,15
Geralt of Rivia,Kistrin,15
Rience,Toublanc Michelet,15
Dacre Silifant,Til Echrade,15
Geralt of Rivia,Marti,15
Geralt of Rivia,Visenna,15
Falka,Houtborg,15
Nivellen,Vereena,14
Assire var Anahid,Yennefer,14
Philippa Eilhart,Shani,14
Geralt of Rivia,Junghans,14
Baron,Vercta,14
Caldemeyn,Villentretenmerth,14
Drogodar,Geralt of Rivia,14
Ciri,Vissegerd,14
Daniel Etcheverry,Vissegerd,14
Ceallach,Geralt of Rivia,14
Ciri,Fringilla Vigo,14
Esterad Thyssen,Tankred Thyssen,14
Geralt of Rivia,Vilfrid Wenck,14
Ciri,Iola the Second,13
Dorregaray,Marti,13
Errdil,Yennefer,13
Dainty,Vimme Vivaldi,13
Yazon Varda,Zoltan Chivay,13
Eyck of Denesle,Niedamir,13
Geralt of Rivia,Vespula,13
Neratin Ceka,Vattier de Rideaux,13
Neratin Ceka,Stefan Skellen,13
Bertram Skellen,Stefan Skellen,13
Kelpie,Triss Merigold,13
Ciri,Mousesack,13
Ciri,Leo Bonhart,13
Ciri,Freixenet,13
Fifteen,Nohorn,13
Albrich,Emhyr var Emreis,13
Aen Saevherne,Francesca Findabair,13
Geralt of Rivia,Meve,13
Cahir,Two,13
Klaproth,Pike,13
Galarr,Geralt of Rivia,13
Incarvilia Hildebrandt,Pike,13
Pavetta,Vilgefortz,13
Ardal aep Dahy,Emhyr var Emreis,13
Holofernes,Pike,13
Adalia,Calanthe,12
Ciri,Kistrin,12
Lydia van Bredevoort,Two,12
Adam Pangratt,Lorenzo Molla,12
Boholt,Kennet,12
Falka,Reef,12
Foltest,Meve,12
Dacre Silifant,Neratin Ceka,12
Linus Pitt,Olsen,12
Lutz,Skomlik,12
Carduin,Philippa Eilhart,12
Esterad Thyssen,Gaudemunda,12
Fercart,Radcliffe,12
Goulue,Nycklar,12
Esterad Thyssen,Niedamir,12
Geralt of Rivia,Regan Dahlberg,12
Fercart,Francesca Findabair,12
Ciri,Vercta,12
Dacre Silifant,Joanna Selborne,12
Blue,Ciri,12
Stran,Vitek,12
Falwick,Hereward,12
Aevenien,Ithlinne,12
Boreas Mun,Stefan Skellen,12
Geralt of Rivia,Jarre,12
Iskra,Reef,12
Eurneid,Katje,12
Toruviel,Yaevinn,12
Devereux,Matholm,12
Sulivoy,Yves,12
Coinneach,Milva,12
Emhyr var Emreis,Xarthisius,12
Radcliffe,Tissaia de Vries,12
Berengar Leuvaarden,Fitz-Oesterlen,12
Margarita Laux-Antille,Triss Merigold,12
Dennis Cranmer,Zoltan Chivay,12
Jarre,Milton,12
Eist Tuirseach,Vissegerd,12
Matholm,Sulivoy,12
Francesca Findabair,Sheala de Tancarville,12
Francesca Findabair,Rience,12
Mona,Morenn,12
Draig Bon-Dhu,Eist Tuirseach,11
Assire var Anahid,Sabrina Glevissig,11
Aplegatt,Foltest,11
Iola the Second,Jarre,11
Milva,Yazon Varda,11
Figgis Merluzzo,Percival Schuttenbach,11
Angus Bri Cri,Riordain,11
Emhyr var Emreis,Francesca Findabair,11
Freixenet,Freya,11
Demavend,Francesca Findabair,11
Chireadan,Laurelnose,11
Figgis Merluzzo,Zoltan Chivay,11
Michelet,Rience,11
Geralt of Rivia,Zelest,11
Laurelnose,Yennefer,11
Geralt of Rivia,Vimme Vivaldi,11
Dorregaray,Gyllenstiern,11
Calanthe,Yennefer,11
Medell,Virfuril,11
King,Venzlav,11
Giselher,Servadio,11
Aen Saevherne,Lara Dorren,11
Esterad Thyssen,Guiscard Vermuellen,11
Cahir,Roach,11
Kayleigh,Lutz,11
Falka,Fringilla Vigo,11
Ervyll,Venzlav,11
Baron,Lutz,11
Ciri,Eskel,11
Dainty,Dudu,11
Gemma,Radovid III,11
Calanthe,Dagorad,11
Ciri,Keira Metz,11
Ervyll,Kistrin,11
Amavet,Anna Kameny,11
Chloe Stitz,Neratin Ceka,11
Renfri,Tavik,11
Nimir,Vyr,11
Fabio Sachs,Jarre,11
Fiona,Riannon,11
Crach an Craite,Loki,11
Chireadan,Yarpen Zigrin,11
Eurneid,Yennefer,11
Eithné,Geralt of Rivia,10
Milton,Pike,10
Assire var Anahid,Francesca Findabair,10
Freya,Geralt of Rivia,10
Elan Trahe,Menno Coehoorn,10
Geralt of Rivia,Primula,10
Sh'eenaz,Yarpen Zigrin,10
Geralt of Rivia,Nan the Hag,10
Anzelm Aubry,Barclay Els,10
Henselt,Sabrina Glevissig,10
Dennis Cranmer,Nenneke,10
Marti,Philippa Eilhart,10
Jarre,Sheldon Skaggs,10
Crach an Craite,Geralt of Rivia,10
Jarre,Zoltan Chivay,10
Sabrina Glevissig,Sheala de Tancarville,10
Ciaran aep Dearbh,Toruviel,10
Dervla Tryffin Broinne,Emhyr var Emreis,10
Dacre Silifant,Rience,10
Chireadan,Krepp,10
Errdil,Geralt of Rivia,10
Cerberus,Geralt of Rivia,10
Bert Brigden,Til Echrade,10
Ceallach,Mawr,10
Eyck of Denesle,Yennefer,10
Francesca Findabair,Margarita Laux-Antille,10
Ciri,Radovid III,10
Figgis Merluzzo,Geralt of Rivia,10
Two,Zoltan Chivay,10
Geralt of Rivia,Laurelnose,10
Eredin,Lara Dorren,10
Jarre,Two,10
Sabrina Glevissig,Sigismund Dijkstra,10
Sabrina Glevissig,Tissaia de Vries,10
Bert Brigden,Neratin Ceka,10
Philippa Eilhart,Vizimir,10
Adalia,Dagorad,10
Geralt of Rivia,Libushe,10
Falka,Ithlinne,10
Francesca Findabair,Riannon,10
Adalia,Fiona,10
Galahad,Herwig,10
Geralt of Rivia,Velerad,10
Loki,Ragnar,10
Foltest,Ostrit,10
Ori Reuven,Philippa Eilhart,10
Eskel,Vesemir,10
Emhyr var Emreis,Sabrina Glevissig,10
Calanthe,Lara Dorren,10
Geralt of Rivia,Vera Loewenhaupt,10
Boratek,Olsen,10
Geralt of Rivia,Yannick Brass,10
Fiona,Goidemar,10
Fiona,Lara Dorren,10
Adalia,Francesca Findabair,10
Adalia,Amavet,10
Calanthe,Meve,10
Cahir,Yennefer,10
Falka,Servadio,10
Ciri,Zuleyka,10
Emhyr var Emreis,Pavetta,10
Francesca Findabair,Fringilla Vigo,10
Calanthe,Zuleyka,10
Falka,Vridank,10
Aplegatt,Hansom,10
Demavend,Meve,10
Emhyr var Emreis,Filavandrel,10
Duke,Guiscard Vermuellen,9
Geralt of Rivia,Teleri Drouhard,9
Assire var Anahid,Fringilla Vigo,9
Fercart,Philippa Eilhart,9
Milva,Seven,9
Philippa Eilhart,Vattier de Rideaux,9
Benda,Gedovius,9
Francesca Findabair,Lara Dorren,9
Geralt of Rivia,Vysogota,9
Falka,Windsor Imbra,9
Cregennan,Geralt of Rivia,9
Eudora,Yarpen Zigrin,9
Alzur,Yennefer,9
Geralt of Rivia,Marilka,9
Vilgefortz,Vizimir,9
Calanthe,Vizimir,9
Foltest,Vilgefortz,9
Emhyr var Emreis,Meve,9
Boreas Mun,Falka,9
Gabriel,Geralt of Rivia,9
Boreas Mun,Esterhazy,9
Carduin,Dorregaray,9
Ciri,Something,9
Paulie Dahlberg,Xavier Moran,9
Falka,Vysogota,9
Giselher,Valdez,9
Vanielle,Yennefer,9
Boatbug,Linus Pitt,9
Geralt of Rivia,Lytta Neyd,9
Geralt of Rivia,Vizimir,9
Braenn,Kashka,9
Assire var Anahid,Vattier de Rideaux,9
Buyvid Backhuysen,Ciri,9
Arthur,Merlin,9
Iola the Second,Marti,9
Stefan Skellen,Yennefer,9
Bert Brigden,Stigward,9
Dandelion,Zoltan Chivay,9
Draig Bon-Dhu,Mousesack,9
Pavetta,Philippa Eilhart,9
Ebbing,Giselher,9
Chloe Stitz,Ola Harsheim,9
Ciri,Sigrdrifa,9
Fringilla Vigo,Xarthisius,9
Aine Dermott,Ciri,9
Ciri,Hjalmar,9
Akeretta,Geralt of Rivia,9
Cahir,Zoltan Chivay,9
Chloe Stitz,Stigward,9
Geralt of Rivia,Palmerin de Launfal,9
Filavandrel,Galarr,9
Geralt of Rivia,Neville,9
Keira Metz,Vilgefortz,9
Sheldon Skaggs,Zoltan Chivay,9
Menno Coehoorn,Zoltan Chivay,9
Kelpie,Two,9
Keira Metz,Marti,9
Ostrit,Segelin,9
Aridea,Renfri,9
Eltibald,Stregobor,9
Geralt of Rivia,Rainfarn,9
Bronik,Yennefer,9
Bronibor,Foltest,8
Tissaia de Vries,Triss Merigold,8
Meve,Milva,8
Ciri,Herwig,8
Ostrit,Velerad,8
Geralt of Rivia,Millet,8
Adalia,Geralt of Rivia,8
Geralt of Rivia,Michelet,8
Count Broinne,Fitz-Oesterlen,8
Pavetta,Vissegerd,8
Deuslax,Jarre,8
Dandelion,Yennefer,8
Philippa Eilhart,Sheala de Tancarville,8
Assire var Anahid,Emhyr var Emreis,8
Nenneke,Two,8
Filavandrel,Torque,8
Toruviel,Vanadain,8
Ciri,Nimue,8
Condwiramurs,Geralt of Rivia,8
Geralt of Rivia,Nimue,8
Cahir,Reynart de Bois-Fresnes,8
Iola the Second,Triss Merigold,8
Geralt of Rivia,Yazon Varda,8
Isengrim Faoiltiarna,Menno Coehoorn,8
Kees van Lo,Menno Coehoorn,8
Asse,Ciri,8
Demavend,Philippa Eilhart,8
Fitz-Oesterlen,Foltest,8
Asa Thjazi,Yennefer,8
Anzelm Aubry,Dandelion,8
Milva,Yennefer,8
Villentretenmerth,Yennefer,8
Villentretenmerth,Yarpen Zigrin,8
Dainty,Sulimir,8
Neratin Ceka,Til Echrade,8
Guiscard Vermuellen,Zuleyka,8
Philippa Eilhart,Zuleyka,8
Dandelion,Dudu,8
Flavius Michelet,Rience,8
Ciri,Lydia van Bredevoort,8
Kayleigh,Vercta,8
Geralt of Rivia,Roegner,8
Audoen,Geralt of Rivia,8
Falka,Francesca Findabair,8
Baron,Geralt of Rivia,8
Esterhazy,Neratin Ceka,8
Baron,Falka,8
Adela,Falka,8
Ebbing,Emhyr var Emreis,8
Ciri,Neratin Ceka,8
Geralt of Rivia,Gorazd,8
Cerro,Falka,8
Roach,Triss Merigold,8
Geralt of Rivia,Maria,8
Falka,Stefan Skellen,8
Lady,Triss Merigold,8
Yannick Brass,Yarpen Zigrin,8
Boatbug,Everett,8
Radcliffe,Sabrina Glevissig,8
Caldemeyn,Renfri,8
Mona,Ragnar,8
Kashka,Loki,8
Hereward,Nenneke,8
Stefan Skellen,Xarthisius,7
Geralt of Rivia,Lara Dorren,7
Carduin,Francesca Findabair,7
Alcides Fierabras,Geralt of Rivia,7
Brick,Venzlav,7
Amaranth,Ciri,7
Aillil,Cahir,7
Agnes,Giambattista,7
Giselher,Skomlik,7
Freixenet,Levecque,7
Ceallach,Emhyr var Emreis,7
Holofernes,Incarvilia Hildebrandt,7
Chireadan,Vratimir,7
Ciri,Zoltan Chivay,7
Figgis Merluzzo,Milva,7
Emhyr var Emreis,Triss Merigold,7
Falka,Tuzik,7
Draig Bon-Dhu,Geralt of Rivia,7
Aplegatt,King,7
Meve,Vissegerd,7
Dede Vargas,Yuz Jannowitz,7
Ciri,Eurneid,7
Guthlaf,Hjalmar,7
Baron,Fitz-Oesterlen,7
Jarre,Okultich,7
Jarre,Klaproth,7
Impatientia Vanderbeck,Pike,7
Agloval,Zelest,7
Herwig,Yennefer,7
Rience,Scarra,7
Calanthe,Mousesack,7
Sh'eenaz,Yennefer,7
Ardal aep Dahy,Vilgefortz,7
Lara Dorren,Philippa Eilhart,7
Jarre,Myrrha,6
Katje,Myrrha,6
Calanthe,Ravix,6
Crach an Craite,Rainfarn,6
Falka,Stavro,6
Agnes,Nina Fioravanti,6
Eskel,Lambert,6
Pavetta,Rainfarn,6
Falka,Roderick de Novembre,6
Adalia,Elen of Kaedwen,6
Fiona,Pavetta,6
Ceallach,Vattier de Rideaux,6
Calanthe,Riannon,6
Eurneid,Ragnar,6
Emhyr var Emreis,Ervyll,6
Butcher,Geralt of Rivia,6
Andres Vierny,Dede Vargas,6
Agnes,Tissaia de Vries,6
Geralt of Rivia,Jean Catillon,6
Milva,Reynart de Bois-Fresnes,6
Ciri,Ebbing,6
Errdil,Krepp,6
Auberon Muircetach,Geralt of Rivia,6
Ervyll,Levecque,6
Caldemeyn,Crach an Craite,6
Fredefalk,Renfri,6
Agloval,Annika,6
Rupert,Stavro,6
Drogodar,Mousesack,6
Dufficey Kriel,Neratin Ceka,6
Andres Vierny,Til Echrade,6
Brick,Levecque,6
Falka,Pavetta,6
Lydia van Bredevoort,Triss Merigold,6
Asse,Iskra,6
Fauve,Sirssa,6
Falka,Radmir,6
Immanuel Benavent,Nina Fioravanti,6
Ciri,Reef,6
Aurora Henson,Herbert Stammelford,6
Aurora Henson,Ivo Richert,6
Agnes,Ivo Richert,6
Agnes,Geoffrey Monck,6
Dorregaray,Kashka,6
Matholm,Ragnar,6
Matholm,Morenn,6
Freixenet,Morenn,6
Crach an Craite,Freixenet,6
Dagobert,Vanielle,6
Atlan Kerk,Vanielle,6
Augusta Wagner,Yanna of Murivel,6
Klara Larissa de Winter,Nina Fioravanti,6
Geoffrey Monck,Radmir,6
Mistle,Reef,6
Incarvilia Hildebrandt,Milton,6
Juan Pablo Vassermiller,Mitzi,6
Fercart,Keira Metz,6
Figgis Merluzzo,Yazon Varda,6
Devereux,Sigismund Dijkstra,6
Elen of Kaedwen,Fiona,6
Braenn,Freya,6
Marquard,Rejean,6
Ragnar,Yves,6
Falka,Leo Bonhart,6
Pavetta,Windhalm of Attre,6
Adam Pangratt,Barclay Els,6
Elan Trahe,Kees van Lo,6
Ervyll,Viraxas,6
Gedovius,Radovid III,6
Benda,Gemma,6
King,Zuleyka,6
Ebbing,Mitzi,6
Emhyr var Emreis,Reef,6
Marquard,Radcliffe,6
Demavend,Radcliffe,6
Fercart,Vilgefortz,6
Meve,Sabrina Glevissig,6
Eithné,Yennefer,6
Amaranth,Windsor Imbra,6
Gardenia,Nenneke,6
Boreas Mun,Cahir,6
Dacre Silifant,Ebbing,6
Xavier Moran,Yannick Brass,6
Fercart,Yennefer,6
Matholm,Venzlav,6
Artaud Terranova,Fercart,6
Sulivoy,Venzlav,6
Geoffrey Monck,Immanuel Benavent,6
Ilona Laux-Antille,Yiolenta Suarez,6
Condwiramurs,Fringilla Vigo,6
Kennet,Yennefer,6
Boholt,Crinfrid,6
Ilona Laux-Antille,Leticia Charbonneau,6
April,Yiolenta Suarez,6
Augusta Wagner,Jada Glevissig,6
Jada Glevissig,Leticia Charbonneau,6
Esterad Thyssen,Philippa Eilhart,6
Assire var Anahid,Jediah Mekesser,6
Fredefalk,Geralt of Rivia,6
Gerhart,Yennefer,6
Matholm,Sigismund Dijkstra,6
Munro Bruys,Percival Schuttenbach,6
Dyffryn,Mawr,6
Caleb Stratton,Ciri,6
Emhyr var Emreis,Tankred Thyssen,6
Gardenia,Geralt of Rivia,6
Lars,Margarita Laux-Antille,6
Juan Pablo Vassermiller,Lorenzo Molla,6
Roach,Zoltan Chivay,6
Rhundurin,Vimme Vivaldi,6
Ebbing,Vysogota,6
Daniel Etcheverry,Zyvik,6
Fringilla Vigo,Sigrdrifa,6
Fabio Sachs,Vesemir,6
Bernie Hofmeier,Geralt of Rivia,6
Lars,Tissaia de Vries,6
Braenn,Morenn,6
Klaproth,Milton,6
Braenn,Vesemir,6
